date,scan_time,ticker,mode,score,pct_from_open,rvol,entry_price,return_1h_pct,max_gain_1h_pct,stop_hit_1h,return_2h_pct,max_gain_2h_pct,stop_hit_2h,return_4h_pct,max_gain_4h_pct,stop_hit_4h,return_eod_pct,max_gain_session_pct,level_price,level_touches,level_type,dist_pct,atr,stop_loss,return_1d_pct,max_gain_1d_pct,stop_hit_1d,return_3d_pct,max_gain_3d_pct,stop_hit_3d,return_5d_pct,max_gain_5d_pct,stop_hit_5d
2026-05-25,14:30 BST,ANY,RESISTANCE_WARNING,8.56,,,1.89,,,,,,,,,,,,1.895,4.0,resistance,0.26,0.27,1.6108,-1.59,4.23,False,1.59,6.24,False,112.7,155.56,False
2026-05-26,14:30 BST,ANY,RESISTANCE_WARNING,8.56,,,1.89,,,,,,,,,,,,1.895,4.0,resistance,0.26,0.27,1.6108,0.53,3.07,False,0.53,6.24,False,106.88,155.56,False
2026-05-27,14:30 BST,ANY,RESISTANCE_WARNING,5.92,,,1.86,,,,,,,,,,,,1.895,4.0,resistance,1.85,0.27,1.6051,3.23,7.96,False,116.13,159.68,False,203.76,233.33,False
2026-05-28,14:30 BST,ANY,SUPPORT_BOUNCE,8.56,,,1.9,,,,,,,,,,,,1.895,4.0,support,0.26,0.26,1.6209,-0.0,2.63,False,105.79,154.21,False,,226.32,False
2026-05-29,14:30 BST,ANY,SUPPORT_BOUNCE,6.8,,,1.92,,,,,,,,,,,,1.895,4.0,support,1.32,0.25,1.6339,109.37,151.56,False,194.27,222.92,False,,222.92,False
2026-06-01,16:30 BST,ANY,MODE1_MOMENTUM,10.0,29.23,893.11,4.09,-3.18,12.22,True,4.89,18.09,True,-2.93,18.09,True,-0.73,18.09,,,,,,,,,,,,,,,
2026-06-01,17:00 BST,ANY,MODE1_MOMENTUM,10.0,20.73,857.32,3.8212,14.1,26.4,True,4.55,26.4,True,6.25,26.4,True,6.25,26.4,,,,,,,,,,,,,,,
2026-06-01,17:30 BST,ANY,MODE1_MOMENTUM,10.0,25.11,804.8,3.9598,8.34,21.97,False,6.32,21.97,False,2.53,21.97,True,2.53,21.97,,,,,,,,,,,,,,,
2026-06-01,18:00 BST,ANY,MODE1_MOMENTUM,10.0,37.76,801.58,4.36,-8.37,1.38,True,-6.88,1.38,True,-6.88,1.38,True,-6.88,1.38,,,,,,,,,,,,,,,
2026-06-01,18:30 BST,ANY,MODE1_MOMENTUM,10.0,35.55,731.58,4.29,-1.86,0.7,True,-7.46,0.7,True,-5.36,0.7,True,-5.36,0.7,,,,,,,,,,,,,,,
2026-06-01,14:30 BST,ANY,RESISTANCE_WARNING,4.81,,,1.9,,,,,,,,,,,,1.949,4.0,resistance,2.51,0.24,1.7028,105.79,135.26,False,,226.32,False,,226.32,False
2026-06-02,14:30 BST,ANY,SUPPORT_BOUNCE,8.17,,,4.02,,,,,,,,,,,,4.0,4.0,support,0.5,0.42,3.5764,40.55,54.23,False,,54.23,False,,54.23,False
2026-06-03,14:30 BST,ANY,RESISTANCE_WARNING,5.25,,,3.91,,,,,,,,,,,,4.0,4.0,resistance,2.25,0.49,3.5121,,,False,,,False,,,False
2026-04-21,14:30 BST,ANVS,RESISTANCE_WARNING,4.36,,,1.92,,,,,,,,,,,,1.975,4.0,resistance,2.78,0.23,1.7336,-4.17,-0.52,False,-9.37,-0.52,True,-3.65,4.69,True
2026-04-23,14:30 BST,ANVS,SUPPORT_BOUNCE,5.77,,,1.84,,,,,,,,,,,,1.805,4.0,support,1.94,0.2,1.5979,-5.43,-1.09,False,0.54,9.24,False,7.07,9.24,False
2026-04-24,14:30 BST,ANVS,SUPPORT_BOUNCE,8.54,,,1.81,,,,,,,,,,,,1.805,4.0,support,0.28,0.19,1.6086,4.42,7.18,False,1.66,11.05,False,10.5,11.6,False
