scan_time,ticker,price,pct_from_open,rvol,accelerating,level_price,level_touches,level_type,dist_pct,atr,mode,score,stop_loss,stop_reason,entry_note,reason,rsi_at_signal
2026-07-01 16:39 BST,TGS,29.165,,,,29.19,49.0,resistance,0.09,1.24,RESISTANCE_WARNING,8.86,27.5664,Touches: 49 · Level low: $28.81 · ATR(14): $1.24 · Stop: $27.5664,Near resistance $29.19 · consider exit or avoid entry,49 touches at $29.19 · 0.1% away · ATR $1.24,
2026-07-01 16:40 BST,UNF,270.22,,,,270.0,31.0,support,0.08,6.13,SUPPORT_BOUNCE,8.86,260.4629,Touches: 31 · Level low: $266.59 · ATR(14): $6.13 · Stop: $260.4629,Near support $270.0 · enter on bounce candle · can hold multi-day,31 touches at $270.0 · 0.1% away · ATR $6.13,
2026-07-01 16:39 BST,TEX,71.175,,,,71.1142,7.0,support,0.09,3.23,SUPPORT_BOUNCE,8.86,67.2443,Touches: 7 · Level low: $70.47 · ATR(14): $3.23 · Stop: $67.2443,Near support $71.1142 · enter on bounce candle · can hold multi-day,7 touches at $71.1142 · 0.1% away · ATR $3.23,
2026-07-01 16:39 BST,TRT,11.49,,,,11.5,7.0,resistance,0.09,1.74,RESISTANCE_WARNING,8.86,9.5579,Touches: 7 · Level low: $11.3 · ATR(14): $1.74 · Stop: $9.5579,Near resistance $11.5 · consider exit or avoid entry,7 touches at $11.5 · 0.1% away · ATR $1.74,
2026-07-01 16:39 BST,TMDE,0.7687,,,,0.768,17.0,support,0.09,0.13,SUPPORT_BOUNCE,8.85,0.6291,Touches: 17 · Level low: $0.757 · ATR(14): $0.13 · Stop: $0.6291,Near support $0.768 · enter on bounce candle · can hold multi-day,17 touches at $0.768 · 0.1% away · ATR $0.13,
2026-07-01 16:38 BST,TDW,67.715,,,,67.78,11.0,resistance,0.1,2.82,RESISTANCE_WARNING,8.84,64.3486,Touches: 11 · Level low: $67.17 · ATR(14): $2.82 · Stop: $64.3486,Near resistance $67.78 · consider exit or avoid entry,11 touches at $67.78 · 0.1% away · ATR $2.82,
2026-07-01 16:39 BST,TSLX,17.33,,,,17.3133,56.0,support,0.1,0.44,SUPPORT_BOUNCE,8.84,16.6856,Touches: 56 · Level low: $17.1236 · ATR(14): $0.44 · Stop: $16.6856,Near support $17.3133 · enter on bounce candle · can hold multi-day,56 touches at $17.3133 · 0.1% away · ATR $0.44,
2026-07-01 16:40 BST,TXN,299.09,,,,298.81,19.0,support,0.09,15.85,SUPPORT_BOUNCE,8.84,278.9329,Touches: 19 · Level low: $294.78 · ATR(14): $15.85 · Stop: $278.9329,Near support $298.81 · enter on bounce candle · can hold multi-day,19 touches at $298.81 · 0.1% away · ATR $15.85,
2026-07-01 16:39 BST,TMHC,71.785,,,,71.71,44.0,support,0.1,0.31,SUPPORT_BOUNCE,8.83,71.1236,Touches: 44 · Level low: $71.43 · ATR(14): $0.31 · Stop: $71.1236,Near support $71.71 · enter on bounce candle · can hold multi-day,44 touches at $71.71 · 0.1% away · ATR $0.31,
2026-07-01 16:39 BST,TRSG,1.4985,,,,1.5,10.0,resistance,0.1,0.12,RESISTANCE_WARNING,8.83,1.3682,Touches: 10 · Level low: $1.49 · ATR(14): $0.12 · Stop: $1.3682,Near resistance $1.5 · consider exit or avoid entry,10 touches at $1.5 · 0.1% away · ATR $0.12,
2026-07-01 16:39 BST,TMTS,10.01,,,,10.0,121.0,support,0.1,0.01,SUPPORT_BOUNCE,8.83,9.8943,Touches: 121 · Level low: $9.9 · ATR(14): $0.01 · Stop: $9.8943,Near support $10.0 · enter on bounce candle · can hold multi-day,121 touches at $10.0 · 0.1% away · ATR $0.01,
2026-07-01 16:40 BST,UPS,109.14,,,,109.26,29.0,resistance,0.11,2.94,RESISTANCE_WARNING,8.82,104.7423,Touches: 29 · Level low: $107.6848 · ATR(14): $2.94 · Stop: $104.7423,Near resistance $109.26 · consider exit or avoid entry,29 touches at $109.26 · 0.1% away · ATR $2.94,
2026-07-01 16:39 BST,THC,189.45,,,,189.66,45.0,resistance,0.11,6.17,RESISTANCE_WARNING,8.82,180.74,Touches: 45 · Level low: $186.91 · ATR(14): $6.17 · Stop: $180.74,Near resistance $189.66 · consider exit or avoid entry,45 touches at $189.66 · 0.1% away · ATR $6.17,
2026-07-01 16:39 BST,TWLO,208.615,,,,208.37,5.0,support,0.12,9.53,SUPPORT_BOUNCE,8.8,197.0874,Touches: 5 · Level low: $206.62 · ATR(14): $9.53 · Stop: $197.0874,Near support $208.37 · enter on bounce candle · can hold multi-day,5 touches at $208.37 · 0.1% away · ATR $9.53,
2026-07-01 16:39 BST,TORO,5.045,,,,5.051,23.0,resistance,0.12,0.27,RESISTANCE_WARNING,8.8,4.7099,Touches: 23 · Level low: $4.98 · ATR(14): $0.27 · Stop: $4.7099,Near resistance $5.051 · consider exit or avoid entry,23 touches at $5.051 · 0.1% away · ATR $0.27,
2026-07-01 16:40 BST,UGI,34.81,,,,34.8529,46.0,resistance,0.12,0.7,RESISTANCE_WARNING,8.79,33.5897,Touches: 46 · Level low: $34.289 · ATR(14): $0.7 · Stop: $33.5897,Near resistance $34.8529 · consider exit or avoid entry,46 touches at $34.8529 · 0.1% away · ATR $0.7,
2026-07-01 16:39 BST,TFX,129.91,,,,130.08,37.0,resistance,0.13,3.95,RESISTANCE_WARNING,8.78,124.4962,Touches: 37 · Level low: $128.448 · ATR(14): $3.95 · Stop: $124.4962,Near resistance $130.08 · consider exit or avoid entry,37 touches at $130.08 · 0.1% away · ATR $3.95,
2026-07-01 16:39 BST,THRM,34.56,,,,34.515,18.0,support,0.13,1.38,SUPPORT_BOUNCE,8.78,32.5211,Touches: 18 · Level low: $33.9 · ATR(14): $1.38 · Stop: $32.5211,Near support $34.515 · enter on bounce candle · can hold multi-day,18 touches at $34.515 · 0.1% away · ATR $1.38,
2026-07-01 16:40 BST,UMICY,5.74,,,,5.7475,18.0,resistance,0.13,0.22,RESISTANCE_WARNING,8.78,5.4459,Touches: 18 · Level low: $5.6672 · ATR(14): $0.22 · Stop: $5.4459,Near resistance $5.7475 · consider exit or avoid entry,18 touches at $5.7475 · 0.1% away · ATR $0.22,
2026-07-01 16:40 BST,UOVEY,61.3,,,,61.39,23.0,resistance,0.15,0.78,RESISTANCE_WARNING,8.76,60.3316,Touches: 23 · Level low: $61.1109 · ATR(14): $0.78 · Stop: $60.3316,Near resistance $61.39 · consider exit or avoid entry,23 touches at $61.39 · 0.1% away · ATR $0.78,
2026-07-01 16:39 BST,TRIP,13.5,,,,13.48,15.0,support,0.15,0.76,SUPPORT_BOUNCE,8.75,12.6046,Touches: 15 · Level low: $13.36 · ATR(14): $0.76 · Stop: $12.6046,Near support $13.48 · enter on bounce candle · can hold multi-day,15 touches at $13.48 · 0.1% away · ATR $0.76,
2026-07-01 16:40 BST,UBS,49.81,,,,49.885,16.0,resistance,0.15,0.96,RESISTANCE_WARNING,8.75,48.3529,Touches: 16 · Level low: $49.31 · ATR(14): $0.96 · Stop: $48.3529,Near resistance $49.885 · consider exit or avoid entry,16 touches at $49.885 · 0.2% away · ATR $0.96,
2026-07-01 16:39 BST,TTWO,250.99,,,,250.59,17.0,support,0.16,9.88,SUPPORT_BOUNCE,8.73,238.2621,Touches: 17 · Level low: $248.14 · ATR(14): $9.88 · Stop: $238.2621,Near support $250.59 · enter on bounce candle · can hold multi-day,17 touches at $250.59 · 0.2% away · ATR $9.88,
2026-07-01 16:40 BST,UBOH,38.0,,,,37.9331,47.0,support,0.18,0.08,SUPPORT_BOUNCE,8.71,37.3237,Touches: 47 · Level low: $37.4066 · ATR(14): $0.08 · Stop: $37.3237,Near support $37.9331 · enter on bounce candle · can hold multi-day,47 touches at $37.9331 · 0.2% away · ATR $0.08,
2026-07-01 16:39 BST,TWIN,22.41,,,,22.45,4.0,resistance,0.18,1.26,RESISTANCE_WARNING,8.7,21.065,Touches: 4 · Level low: $22.32 · ATR(14): $1.26 · Stop: $21.065,Near resistance $22.45 · consider exit or avoid entry,4 touches at $22.45 · 0.2% away · ATR $1.26,
2026-07-01 16:39 BST,TER,439.42,,,,438.635,6.0,support,0.18,36.07,SUPPORT_BOUNCE,8.7,396.9286,Touches: 6 · Level low: $433.0 · ATR(14): $36.07 · Stop: $396.9286,Near support $438.635 · enter on bounce candle · can hold multi-day,6 touches at $438.635 · 0.2% away · ATR $36.07,
2026-07-01 16:39 BST,TJX,150.84,,,,150.5569,31.0,support,0.19,3.83,SUPPORT_BOUNCE,8.69,143.9736,Touches: 31 · Level low: $147.8 · ATR(14): $3.83 · Stop: $143.9736,Near support $150.5569 · enter on bounce candle · can hold multi-day,31 touches at $150.5569 · 0.2% away · ATR $3.83,
2026-07-01 16:39 BST,TRS,44.525,,,,44.61,9.0,resistance,0.19,1.19,RESISTANCE_WARNING,8.68,43.0475,Touches: 9 · Level low: $44.24 · ATR(14): $1.19 · Stop: $43.0475,Near resistance $44.61 · consider exit or avoid entry,9 touches at $44.61 · 0.2% away · ATR $1.19,
2026-07-01 16:39 BST,TEZNY,34.95,,,,35.0202,39.0,resistance,0.2,0.47,RESISTANCE_WARNING,8.67,34.3406,Touches: 39 · Level low: $34.8111 · ATR(14): $0.47 · Stop: $34.3406,Near resistance $35.0202 · consider exit or avoid entry,39 touches at $35.0202 · 0.2% away · ATR $0.47,
